VA_01,"Wide is to (A: Big, B: Narrow, C: Road) as Fast is to (X: Quick, Y: Run, Z: Slow)",BZ,BX,AX,BY,CY,A
VA_02,"Writer is to (A: Pen, B: Book, C: Read) as Chef is to (X: Knife, Y: Cook, Z: Food)",CZ,BX,BZ,AX,CX,D
VA_03,"Lion is to (A: Roar, B: Cub, C: Mane) as Horse is to (X: Stable, Y: Ride, Z: Foal)",CY,CZ,BZ,BY,AZ,C
VA_04,"Photographer is to (A: Photo, B: Camera, C: Lens) as Chef is to (X: Knife, Y: Food, Z: Cook)",AX,CZ,BZ,BX,BY,D
VA_05,"Rough is to (A: Sand, B: Smooth, C: Paper) as Strong is to (X: Muscle, Y: Weak, Z: Power)",AZ,CX,CZ,BY,CY,D
VA_06,"Sheep is to (A: Wool, B: Ba, C: Lamb) as Frog is to (X: Green, Y: Pond, Z: Tadpole)",CZ,BY,AX,CY,CX,A
VA_07,"Carpenter is to (A: Saw, B: Build, C: Wood) as Butcher is to (X: Meat, Y: Cleaver, Z: Shop)",AY,CY,AX,CZ,BY,A
VA_08,"Odometer is to (A: Distance, B: Car, C: Speed) as Ruler is to (X: Tail, Y: Ounces, Z: Length)",AZ,BZ,BY,AY,CX,A
VA_09,"Cat is to (A: Purr, B: Fur, C: Kitten) as Sheep is to (X: Wool, Y: Ba, Z: Lamb)",BZ,CY,BX,CZ,AZ,D
VA_10,"Chef is to (A: Knife, B: Food, C: Cook) as Photographer is to (X: Camera, Y: Lens, Z: Photo)",CY,BZ,AZ,AX,BY,D
VA_11,"Cow is to (A: Calf, B: Milk, C: Farm) as Dog is to (X: Bone, Y: Puppy, Z: Bark)",CY,BY,CX,BZ,AY,E
VA_12,"Frog is to (A: Pond, B: Tadpole, C: Green) as Horse is to (X: Ride, Y: Stable, Z: Foal)",BZ,AY,CY,AX,BY,A
VA_13,"Rough is to (A: Smooth, B: Paper, C: Sand) as High is to (X: Tall, Y: Low, Z: Sky)",AZ,BY,BZ,CZ,AY,E
VA_14,"Strong is to (A: Muscle, B: Weak, C: Power) as Hot is to (X: Warm, Y: Cold, Z: Sun)",CX,AX,AY,AZ,BY,E
VA_15,"Rough is to (A: Paper, B: Sand, C: Smooth) as Fast is to (X: Slow, Y: Run, Z: Quick)",CX,BZ,AX,AZ,AY,A
VA_16,"High is to (A: Sky, B: Tall, C: Low) as Light is to (X: Lamp, Y: Dark, Z: Sun)",BX,AY,BZ,CY,CZ,D
VA_17,"Frog is to (A: Green, B: Tadpole, C: Pond) as Cat is to (X: Kitten, Y: Purr, Z: Fur)",BZ,BY,CY,AY,BX,E
VA_18,"Ruler is to (A: Tail, B: Ounces, C: Length) as Odometer is to (X: Car, Y: Speed, Z: Distance)",AX,CZ,BX,AY,CY,B
